@ NAME             %06s "SURVEY"
@ TYPE             %06s "SURVEY"
@ TITLE            %01s "s"
@ ORIGIN           %18s "5.07.00 Windows 64"
@ DATE             %08s "02/12/21"
@ TIME             %08s "16.49.15"
* NAME               KEYWORD                             S                  L              ANGLE                  X                  Y                  Z              THETA                PHI                PSI         GLOBALTILT               TILT    SLOT_ID ASSEMBLY_ID           MECH_SEP              V_POS COMMENTS           
$ %s                 %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le         %d         %d                %le                %le %s                 
 "M2A.2"             "SBEND"                          61.18                2.2       0.1570796327       -40.71782918                  0        32.11443256       -1.727875959                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "KM2A.2.ERR"        "KICKER"                         61.18                  0                  0       -40.71782918                  0        32.11443256       -1.727875959                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M2A.2.ERR"         "MULTIPOLE"                      61.18                  0                  0       -40.71782918                  0        32.11443256       -1.727875959                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_20"          "DRIFT"                          61.88                0.7                  0       -41.40921102                  0        32.00492843       -1.727875959                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M2B.2.ERR"         "MULTIPOLE"                      61.88                  0                  0       -41.40921102                  0        32.00492843       -1.727875959                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "KM2B.2.ERR"        "KICKER"                         61.88                  0                  0       -41.40921102                  0        32.00492843       -1.727875959                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M2B.2"             "SBEND"                          64.08                2.2       0.1570796327       -43.54622623                  0        31.49187647       -1.884955592                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "KM2B.2.ERR"        "KICKER"                         64.08                  0                  0       -43.54622623                  0        31.49187647       -1.884955592                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M2B.2.ERR"         "MULTIPOLE"                      64.08                  0                  0       -43.54622623                  0        31.49187647       -1.884955592                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_21"          "DRIFT"                          65.03               0.95                  0       -44.44972992                  0        31.19831033       -1.884955592                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QD2.2.ERR"         "MULTIPOLE"                      65.03                  0                  0       -44.44972992                  0        31.19831033       -1.884955592                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QD2.2"             "QUADRUPOLE"                      65.5               0.47                  0       -44.89672649                  0        31.05307234       -1.884955592                  0                  0                  0                  0          0          0                  0                  0 ""                 
